Run,Assay Type,BioProject,BioSample,Center Name,Consent,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,AvgSpotLen,Bases,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region,Collection_date,Library Name,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,lat_lon,BioSampleModel,Isolation_source,Host,Depth,nominal_length (run),run_id (run),env_broad_scale,env_local_scale,env_medium,env_biome,env_feature,env_material,samp_size,samp_mat_process,elev,samp_collect_device,Source_material_ID,BRC_attached_to_frame_number,metals_treatment,organic_enrichment_pulse,press_organic_enrichment_treatment,Replicate_number,sediment_origin,Sequencing_method,Temp,Investigation_type,max_filter_size,min_filter_size,sequencing_machine,site_name,target_molecules,Chlorophyll,landuse,rel_to_oxygen,diss_inorg_carb,Molecule,Isolate,samp_volume,Salinity,BIOME,std_norm_factor,Lake_Name,Block,SUMMER,WINTER,env_package,feature,material,diss_oxygen,Strain,bacteria_carb_prod,beam_atten,beam_trans,collection_time,corr_irradiance,density,fluorescence,par,pressure,sampling_cruise,sigma-theta,surf_irradiance,turbidity,Gene_target,sampling_spot,bacterial_count,conduc,diss_oxy,oxy_sat,primer_target,project_name,environment_biome,environment_feature,environment_material,Library,Replicate,SAMPLE_TYPE,Target_gene,target_subfragment,sediment_depth,target,Time,Treatment,Sample_Name,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Sample_ID,alkalinity,Biological.Replicate,Calcium,Chloride,primers_target,Sodium,tot_phosp,AssemblyName,environment_(biome),environment_(feature),environment_(material),geographic_location_(country_and/or_sea),geographic_location_(depth),geographic_location_(latitude),geographic_location_(longitude),down_par,SAMPLE,tot_depth_water_col,Description,filter_size_um,PH,primers,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,SRA_accession,Title,Alias,ENA_CHECKLIST,Cultivar,Ecotype
SRR5343978,RNA-Seq,PRJNA369309,SAMN06563320,SINGAPORE CENTRE FOR ENVIRONMENTAL LIFE SCIENCES ENGINEERING,public,SRX2640656,Illumina HiSeq 2500,PAIRED,RANDOM,METATRANSCRIPTOMIC,sediment metagenome,ILLUMINA,2017-07-01T00:00:00Z,high-moderate-rep3,SRP101900,202,4166608146,2515239521,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",13-Jun-2013,HL3,Australia,Oceania,"Australia:Sydney\,Chowder Bay",33.85 S 151.25 E,Metagenome or environmental,sediment,Not applicable,,,,,,,,,,,,,,HL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5343979,RNA-Seq,PRJNA369309,SAMN06563319,SINGAPORE CENTRE FOR ENVIRONMENTAL LIFE SCIENCES ENGINEERING,public,SRX2640657,Illumina HiSeq 2500,PAIRED,RANDOM,METATRANSCRIPTOMIC,sediment metagenome,ILLUMINA,2017-07-01T00:00:00Z,high-moderate-rep2,SRP101900,202,4118169354,2481606185,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",13-Jun-2013,HL2,Australia,Oceania,"Australia:Sydney\,Chowder Bay",33.85 S 151.25 E,Metagenome or environmental,sediment,Not applicable,,,,,,,,,,,,,,HL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5343980,RNA-Seq,PRJNA369309,SAMN06563318,SINGAPORE CENTRE FOR ENVIRONMENTAL LIFE SCIENCES ENGINEERING,public,SRX2640658,Illumina HiSeq 2500,PAIRED,RANDOM,METATRANSCRIPTOMIC,sediment metagenome,ILLUMINA,2017-07-01T00:00:00Z,high-moderate-rep12,SRP101900,202,4257314832,2561975552,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",13-Jun-2013,HL12,Australia,Oceania,"Australia:Sydney\,Chowder Bay",33.85 S 151.25 E,Metagenome or environmental,sediment,Not applicable,,,,,,,,,,,,,,HL12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5343981,RNA-Seq,PRJNA369309,SAMN06563317,SINGAPORE CENTRE FOR ENVIRONMENTAL LIFE SCIENCES ENGINEERING,public,SRX2640659,Illumina HiSeq 2500,PAIRED,RANDOM,METATRANSCRIPTOMIC,sediment metagenome,ILLUMINA,2017-07-01T00:00:00Z,high-control-rep9,SRP101900,202,4096968848,2483621714,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",13-Jun-2013,HC9,Australia,Oceania,"Australia:Sydney\,Chowder Bay",33.85 S 151.25 E,Metagenome or environmental,sediment,Not applicable,,,,,,,,,,,,,,HC9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5343982,RNA-Seq,PRJNA369309,SAMN06563316,SINGAPORE CENTRE FOR ENVIRONMENTAL LIFE SCIENCES ENGINEERING,public,SRX2640660,Illumina HiSeq 2500,PAIRED,RANDOM,METATRANSCRIPTOMIC,sediment metagenome,ILLUMINA,2017-07-01T00:00:00Z,high-control-rep7,SRP101900,202,3733247244,2262139539,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",13-Jun-2013,HC7,Australia,Oceania,"Australia:Sydney\,Chowder Bay",33.85 S 151.25 E,Metagenome or environmental,sediment,Not applicable,,,,,,,,,,,,,,HC7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5343983,RNA-Seq,PRJNA369309,SAMN06563315,SINGAPORE CENTRE FOR ENVIRONMENTAL LIFE SCIENCES ENGINEERING,public,SRX2640661,Illumina HiSeq 2500,PAIRED,RANDOM,METATRANSCRIPTOMIC,sediment metagenome,ILLUMINA,2017-07-01T00:00:00Z,high-control-rep4,SRP101900,202,4037571556,2446053828,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",13-Jun-2013,HC4,Australia,Oceania,"Australia:Sydney\,Chowder Bay",33.85 S 151.25 E,Metagenome or environmental,sediment,Not applicable,,,,,,,,,,,,,,HC4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5343984,RNA-Seq,PRJNA369309,SAMN06563314,SINGAPORE CENTRE FOR ENVIRONMENTAL LIFE SCIENCES ENGINEERING,public,SRX2640662,Illumina HiSeq 2500,PAIRED,RANDOM,METATRANSCRIPTOMIC,sediment metagenome,ILLUMINA,2017-07-01T00:00:00Z,control-moderate-rep6,SRP101900,202,3501566778,2117810617,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",13-Jun-2013,CL6,Australia,Oceania,"Australia:Sydney\,Chowder Bay",33.85 S 151.25 E,Metagenome or environmental,sediment,Not applicable,,,,,,,,,,,,,,CL6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5343985,RNA-Seq,PRJNA369309,SAMN06563313,SINGAPORE CENTRE FOR ENVIRONMENTAL LIFE SCIENCES ENGINEERING,public,SRX2640663,Illumina HiSeq 2500,PAIRED,RANDOM,METATRANSCRIPTOMIC,sediment metagenome,ILLUMINA,2017-07-01T00:00:00Z,control-moderate-rep2,SRP101900,202,4090416978,2479085365,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",13-Jun-2013,CL2,Australia,Oceania,"Australia:Sydney\,Chowder Bay",33.85 S 151.25 E,Metagenome or environmental,sediment,Not applicable,,,,,,,,,,,,,,CL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5343986,RNA-Seq,PRJNA369309,SAMN06563312,SINGAPORE CENTRE FOR ENVIRONMENTAL LIFE SCIENCES ENGINEERING,public,SRX2640664,Illumina HiSeq 2500,PAIRED,RANDOM,METATRANSCRIPTOMIC,sediment metagenome,ILLUMINA,2017-07-01T00:00:00Z,control-moderate-rep12,SRP101900,202,3939251692,2382228172,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",13-Jun-2013,CL12,Australia,Oceania,"Australia:Sydney\,Chowder Bay",33.85 S 151.25 E,Metagenome or environmental,sediment,Not applicable,,,,,,,,,,,,,,CL12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5343987,RNA-Seq,PRJNA369309,SAMN06563311,SINGAPORE CENTRE FOR ENVIRONMENTAL LIFE SCIENCES ENGINEERING,public,SRX2640665,Illumina HiSeq 2500,PAIRED,RANDOM,METATRANSCRIPTOMIC,sediment metagenome,ILLUMINA,2017-07-01T00:00:00Z,control-control-rep7,SRP101900,202,5052584994,3074981632,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",13-Jun-2013,CC7,Australia,Oceania,"Australia:Sydney\,Chowder Bay",33.85 S 151.25 E,Metagenome or environmental,sediment,Not applicable,,,,,,,,,,,,,,CC7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
